DATE,sector,layoffs,ticker,Date,price,log_return
2000-12-01,Accommodation and Food Services,133,XLY,2000-12-01,19.431827545166016,
2001-01-01,Accommodation and Food Services,191,XLY,2001-01-01,21.74583625793457,0.11908343193094062
2001-02-01,Accommodation and Food Services,93,XLY,2001-02-01,20.19308853149414,-0.07140436946286055
2001-03-01,Accommodation and Food Services,207,XLY,2001-03-01,19.858203887939453,-0.016584121989679068
2001-04-01,Accommodation and Food Services,257,XLY,2001-04-01,20.82149314880371,0.04850837801344632
2001-05-01,Accommodation and Food Services,125,XLY,2001-05-01,21.317245483398438,0.023809643768185174
2001-06-01,Accommodation and Food Services,186,XLY,2001-06-01,21.103689193725586,-0.010018005836596733
2001-07-01,Accommodation and Food Services,207,XLY,2001-07-01,22.089519500732422,0.046713647929383706
2001-08-01,Accommodation and Food Services,166,XLY,2001-08-01,20.15572738647461,-0.08754342140369753
2001-09-01,Accommodation and Food Services,269,XLY,2001-09-01,17.556968688964844,-0.12893400707799052
2001-10-01,Accommodation and Food Services,310,XLY,2001-10-01,18.537378311157227,0.05584162275168847
2001-11-01,Accommodation and Food Services,301,XLY,2001-11-01,21.005956649780273,0.13316760855753085
2001-12-01,Accommodation and Food Services,198,XLY,2001-12-01,21.92593765258789,0.04379619639066723
2002-01-01,Accommodation and Food Services,185,XLY,2002-01-01,22.682132720947266,0.03448860798298048
2002-02-01,Accommodation and Food Services,144,XLY,2002-02-01,22.804983139038086,0.0054161757892090545
2002-03-01,Accommodation and Food Services,120,XLY,2002-03-01,23.066051483154297,0.011447863939408442
2002-04-01,Accommodation and Food Services,214,XLY,2002-04-01,22.449308395385742,-0.026738130200523402
2002-05-01,Accommodation and Food Services,145,XLY,2002-05-01,22.33399200439453,-0.00513674581685164
2002-06-01,Accommodation and Food Services,215,XLY,2002-06-01,21.1192626953125,-0.05438926049776571
2002-07-01,Accommodation and Food Services,226,XLY,2002-07-01,18.63135528564453,-0.11780275881601532
2002-08-01,Accommodation and Food Services,199,XLY,2002-08-01,19.193620681762695,0.030178448507790057
2002-09-01,Accommodation and Food Services,211,XLY,2002-09-01,17.460643768310547,-0.0902892133894665
2002-10-01,Accommodation and Food Services,272,XLY,2002-10-01,18.662397384643555,0.0688264208513365
2002-11-01,Accommodation and Food Services,223,XLY,2002-11-01,19.526105880737305,0.04628068293114662
2002-12-01,Accommodation and Food Services,178,XLY,2002-12-01,17.821809768676758,-0.08728294942525394
2003-01-01,Accommodation and Food Services,242,XLY,2003-01-01,17.26738739013672,-0.031109207523608573
2003-02-01,Accommodation and Food Services,135,XLY,2003-02-01,17.190099716186523,-0.004475933284171396
2003-03-01,Accommodation and Food Services,151,XLY,2003-03-01,17.568838119506836,0.022032356389630747
